Title,Company,Date,Location,Salary,Summary,Link
D365 AX Developer,Agility Business Solutions,30+ days ago,"Cleveland, OH",no data," What you’ll do as a Developer:HTML5, CSS, JavaScript, ASP, Python, XML and SQL skills are a plus, as is familiarity with Microsoft Visual Studio development…",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Bx1fXn6alTMpFeDNCF4CS42N3f1cgysk8lkLxcSpX4r2tjKoEiTmILkqOeTpt8w6M9xPUEsPPWrwtHl7Jg2l6-UGik6s7fVaCVVXxQ0YRWcY_UB8gB-k5HDLL5rXceEPhIN2hSF1525NWnZGngTWbtuvtJsBjNDpoDhIXXGOt0Anjc2b79PKbzTfW4I4f48h3IiwFbwRO3jjCF-bzGHEEZZNGKkvqjP-LOZ0R01OdtghatEs9KeNUoWQ-rstwmBgP1q4Lr4YuLVFvl5A0C24LSctppz8JdOdYYgiAt3sEmXjlGednrKMoY2_VrFJGFnJWUrI5oVrR0X6ZGo0TamkIolNDcP_Woy1X6uF1NPQ8PVollR9pfKPrrhIfNMzd4CpWNiD-HVNNDX2fVTvmXhXILRgwmf1x-GMfZKpBlVCXHg20NtQOCmYy3rVstJcD4ME0MQ0ZpY8Jld53DSry4yDi_c2tRjet-6dg=&p=0&fvj=1&vjs=3
Entry Level - Software Developer,Smoothstack,25 days ago,United States,"$55,000 a year"," Basic knowledge of Java, C#, .Net, Python or similar programming languages.New college graduates are welcome to apply.",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ChdE_-3s9UeG5xYsqO3th9AddXeBq2OieSfAM8evhI-PZ76-Buf7EcnCv0gKKLndR0YEV2kTxuAD_VKH6HEbZFGsVNkpiitjOp_daSiXpE3Pd_X3qe-bekUwRlgzVovAcCBt0z5yUU5xFBeE38vP8NN1cwM2zQW5_7-qCme8EqiiMFCG2Ay2jEH-2PMMNDP6_CLas3HWok3fik_jUfoqH1dmU9uEIjKfBu-xZvJ0N07P8-JWHxlBkLUe1nT3n_i709kF_6ZI2BiSd3rMt-K3En3YmkdYrgJeshG3ZUi93ahbPduc8uD4-oGAA8FDBnYFAyqLKlKRrJXCEDd9F66Q6KpdNdhsNq75zNY3d6qq-e1ik8-AEIMaYzCTO68SAdgd8KArJXCZsmS-C6pDDo-XBiIBZm_4ZpIcJWIfEDiaYWZC7_ck0jNheg4VkrU0hdF69XbjmaQAvFS7tr2-ZQY2F11vLMYCYkaAw=&p=1&fvj=1&vjs=3
Quality Assurance Engineer,Patriot Software,16 days ago,"Canton, OH",no data," Scripting languages for test automation e.g., Ruby, Java, Python.We are looking for a Quality Assurance Engineer to join our fast paced development team.",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BHedpvpXdEsaK4PWVik6d5d_gh7qP0dihMo_Ne_EB-Xj3H3RHAqMxAomrCTkelnw3wJ7l-FtkJMDoFcJdVWhvFlWpo8MWRKIst8zAWJbrPccAm3MjAnlRHbOxZmJ6rlZeWWeXHimqOQEAUBVEN5b0zKGwKviv7egBBRlRt2MmoChDrFArViNUwT3KhDhvD3QVtxUMYol3GjRK3xP9MXb701sirqloJ7OWOMquZTCUwCL8WBMFZ82b-uJQKaeINjSM3IULbqXFO0uaGbcZ4ctd0GMT76f-nUOUY5zOjwmm9znHABaKk6MR26jBtpGMSVmWiMDFbVzJ2Fh9tUw9NciFnqSIhtjUfNBvQbu_7WU8ceMlFX-JTeDr_vHGcURau4rmzgIr6t-e3S7m1Lbxs4Vac-IF-_yNU2lwCocMB7nscgKWPu87KL2JhSzaU66_G7kgDdb3vr6cVbAlqZudOvoeICN3Tg_IVSBvK4C9x1f8w1Q-wFyF_SIlPzIgqjMAqQOrXNJ0WxEhL9i52QFvGf3xAy3E3O5hZv81fGf-Yoivz_eTEAvKzXMA7SPY7OBavlkVUewL9IPxaspKmBFF61lAFjTNGSJudtEmIgjcfgKzxLWKA-r9kX72VGUdGVvD0d8xvY3N9BNNVDUq_91_ifBpu4dNFsZrCjHI=&p=2&fvj=0&vjs=3
Python/Django Developer,"Incyte Studios, LLC",9 days ago,United States,$50 - $60 an hour," Incyte Studios, LLC is a software development agency specializing in the Energy Sector.Our most immediate need is for a full stack engineer with Django,…",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DtQV-LeLldfQmgz-cqQl_HAZvaYDzY3V082QIM5xmnAYgPKQmoGnVNA6eA-_-ieXUqrX7SggKIolFQqzY-fIp1u0YOe5yBkdgdPWrHKdAPZs56GulV6Bh3xFHyzc-7lxkoJf2GhqerOsP_jXM7ftCyyIdkx10RU4QWxM5cmQ3ryXALAaDzs4bfYd26lQm8S4Xh5rjCLWxQ-S5KDta7SoNhRZ1tKO7zdZ-86rtRDMFGDvdHkw1twJ7XUABR_XIr32YIEHXJzGsmFiV3f_g0HNEbpHsgTJ7NnmNrvFzEWX7ujow2kbH10sh5PzIHju40WTi_7jEM-Z2lV53jqaAX7xpSDPix03Nw272k-ZS2NhFZZDswYjelo-Bocs7Fg-SShtO8JZfiyrED_-gBEg8zINMoXkRtRlKNUkOgehhSUOwP4I8RXr8xJaSIR0BgP0IwsGVOLrXgh-aar6_Ddu81iUKu&p=3&fvj=1&vjs=3
Sr. Python Developer,Adwait Algorithm,10 days ago,"Mayfield, OH",no data," Snowflake, Redshift, BigQuery, etc) as a heavy user or developer.Ability to exhibit programming experience / skill in Python, Scala, or Java (Experience with…",https://www.indeed.com/company/Adwait-Algorithm/jobs/Senior-Python-Developer-79b4d58c11baa98e?fccid=7ea19ebd63bdf7db&vjs=3
Python Developer,ReCharge,2 days ago,"Cleveland, OH",no data," Python (preferred), Node.js, Ruby, Java, Go.We're looking for a Python Developer to join our feature team and collaborate on a critical part of the platform by…",https://www.indeed.com/rc/clk?jk=c826327dfd37f5f3&fccid=dfd75c6c8aa801a9&vjs=3
Backend Developer,Findaway,12 days ago,"Solon, OH 44139",no data, Findaway is seeking a skilled and successful Backend Developer.Comfortable writing documentation for consumption by our developer customers.,https://www.indeed.com/rc/clk?jk=70caef15863ec0f0&fccid=04b40f7be7960fc9&vjs=3
Business Intelligence Developer I,ExactCare Pharmacy,9 days ago,"Valley View, OH 44125",no data," May have duties that include data manipulation, transformation, and automation using appropriate programming languages such as SQL or Python.",https://www.indeed.com/rc/clk?jk=a2c63ebce462e019&fccid=7d1466639cc4bfa1&vjs=3
Informatica Developer,transaction.agency,19 days ago,"Cleveland, OH",no data," Able to write Unix Shell scripts integrating SQL, Perl or Python.We are looking for am Informatica Developer with a strong background in software development…",https://www.indeed.com/company/transaction.agency/jobs/Informatica-Developer-1102b168212ae3c0?fccid=d2536c6daff5fec9&vjs=3
Data Warehouse Developer,Matco,30+ days ago,"Stow, OH",no data," Experience with R and Python preferred.Senior Data Warehouse Developer, Business Intelligence Architect.Develop and maintain Business Objects Universes.",https://www.indeed.com/rc/clk?jk=b2a0fb6972966f1a&fccid=aca93348b9d7d157&vjs=3
